Quality,Qualityid,GroupName,hsn,rate,width,Uom,pid
ZERO,1473,Jacquard,551511,0,3,Mtr,1473
REGENCY,1474,Shirting,520833,0,6,Mtr,1474
MARVEL,1475,Shirting,520832,0,6,Mtr,1475
RASHMI,1476,Fancy,521031,69,2,Mtr,1476
LIQUID SQUARE,1477,Jacquard,551511,0,3,Mtr,1477
"DOBB BORD BUTT 48""",1478,Dobby,5208,0,6,Mtr,1478
ABZA,1479,Jacquard,520813,0,3,Mtr,1479
GLAM STRUCK-GOLD,1480,Jacquard,540710,0,3,Mtr,1480
HUSKY 3,1481,Jacquard,540710,0,3,Mtr,1481
HUSKY 4,1482,Jacquard,540710,0,3,Mtr,1482
HUSKY 5,1483,Jacquard,540710,0,3,Mtr,1483
HUSKY 6,1484,Jacquard,540710,0,3,Mtr,1484
AURA 1,1485,Jacquard,551511,0,3,Mtr,1485
MEHAK RG-007,1486,Kurti,62114210,0,6,Mtr,1486
ZARA KV-008,1487,Kurti,62114210,0,4,Mtr,1487
YARA SILVER,1488,Jacquard,551511,0,3,Mtr,1488
POLYSTER INTERLINING,1489,Kurti,54073190,0,4,Mtr,1489
RAMP,1490,Jacquard,551611,0,3,Mtr,1490
NYLA-002,1491,Kurti,62114210,0,3,Mtr,1491
LEAH-001,1492,Kurti,62114210,0,3,Mtr,1492
SHAY-0015,1493,Kurti,62114210,0,3,Mtr,1493
MAMTHA KV-009,1494,Kurti,62114210,0,3,Mtr,1494
SHAY-0014,1495,Kurti,62114210,0,3,Mtr,1495
NYLA-003,1496,Kurti,62114210,0,3,Mtr,1496
NYLA-001,1497,Kurti,62114210,0,3,Mtr,1497
HUSKY 7,1498,Jacquard,551512,0,3,Mtr,1498
KIT-KAT,1499,Jacquard,551611,0,3,Mtr,1499
FABRIC KURTI 10,1500,Kurti,520811,0,3,Mtr,1500
FABRIC KURTI 11,1501,Kurti,521019,0,6,Mtr,1501
HUSKY 8,1502,Jacquard,540710,0,3,Mtr,1502
PANO,1503,Jacquard,551611,0,3,Mtr,1503
DIEM-002,1504,Kurti,62114210,0,3,Mtr,1504
DIEM-003,1505,Kurti,62114210,0,6,Mtr,1505
